segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,fusion,33,0.5151515151515151,0.5202205882352942,0.0088456564151012,0.0125960580610521,0.9696969696969696,0.0516123662327679,0.0499919768326384,0.0258061831163839,5.8347694971122115
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,fusion_case,33,0.4242424242424242,0.4319852941176471,0.0088646238757835,0.0125157101968982,0.9393939393939394,0.0535683195855071,0.0537156411410614,0.0267841597927535,6.042932033681123
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,baseline,33,0.5151515151515151,0.5319548872180451,0.0052307067210366,0.0072313379702236,1.0,0.0537387279284979,0.0551583552304222,0.0268693639642489,10.273703114031242
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_main,33,0.4545454545454545,0.4793233082706767,0.0056084714860773,0.0077810696709571,1.0,0.0579189007540904,0.0637691702493735,0.0289594503770452,10.327038462773707
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_interactions,33,0.4545454545454545,0.4699248120300752,0.0063427451556346,0.0086160179859179,1.0,0.0648853846597074,0.0673605778164437,0.0324426923298537,10.22985837639491
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,rag_memory,33,0.5151515151515151,0.513157894736842,0.0058956376363831,0.008066628762533,0.9696969696969696,0.04723077995662,0.0425306598650409,0.02361538997831,8.011140248028449
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,shock_rag,33,0.5151515151515151,0.513157894736842,0.005291810955345,0.0072993213748949,0.9696969696969696,0.0487189238427164,0.0488880653215341,0.0243594619213582,9.206474731208402
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,case_model,33,0.2727272727272727,0.2650375939849624,0.0077614090963739,0.0111745196956842,0.9090909090909092,0.0418570256453741,0.0434050890688594,0.020928512822687,5.392967324055811
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,fusion,33,0.5151515151515151,0.513157894736842,0.0061842957716407,0.0087291407546822,0.9393939393939394,0.0545048389775718,0.0569345326251487,0.0272524194887859,8.813426943050503
2016_2019,2016-01-01,2019-12-31,SPY_ret,regression,fusion_case,33,0.4545454545454545,0.4605263157894737,0.0060044156585878,0.0087021725419017,0.9393939393939394,0.0515884431621259,0.0499732499852945,0.0257942215810629,8.591750820638334
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,baseline,33,0.4848484848484848,0.4673076923076923,0.004482328845199,0.0056630109665911,0.9696969696969696,0.0300844347326217,0.0265863277919267,0.0150422173663108,6.711786611739675
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_main,33,0.4848484848484848,0.4538461538461538,0.0046380122128199,0.0060346303717388,0.9696969696969696,0.030485596459208,0.0283272663574575,0.015242798229604,6.572987534388662
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_interactions,33,0.6666666666666666,0.6576923076923077,0.0047396875193161,0.0058987315007336,0.9696969696969696,0.0271836060680954,0.0232172617143086,0.0135918030340477,5.735316085145116
